date,close,volume,open,high,low
2018/10/06,224.29,33580463,227.96,228.41,220.58
2018/10/05,224.29,33507770,227.96,228.41,220.58
2018/10/04,227.99,31961120,230.78,232.35,226.73
2018/10/03,232.07,28540490,230.05,233.47,229.78
2018/10/02,229.28,24435010,227.25,230,226.63
2018/10/01,227.26,23171020,227.95,229.42,226.35
2018/09/28,225.74,22560440,224.79,225.84,224.02
2018/09/27,224.95,29729270,223.82,226.44,223.54
2018/09/26,220.42,23430370,221,223.75,219.76
2018/09/25,222.19,22811140,219.75,222.82,219.7
2018/09/24,220.79,27581270,216.82,221.26,216.63
2018/09/21,217.66,95584080,220.78,221.36,217.29
2018/09/20,220.03,26388050,220.24,222.28,219.15
2018/09/19,218.37,26869880,218.5,219.62,215.3
2018/09/18,218.24,31495630,217.79,221.85,217.12
2018/09/17,217.88,36810120,222.15,222.95,217.27
2018/09/14,223.84,31801970,225.75,226.84,222.522
2018/09/13,226.41,41411350,223.52,228.35,222.57
2018/09/12,221.07,49118510,224.94,225,219.84
2018/09/11,223.85,35644510,218.01,224.299,216.56
2018/09/10,218.33,39194720,220.95,221.85,216.47
2018/09/07,221.3,37418910,221.85,225.37,220.71
2018/09/06,223.1,34121240,226.23,227.35,221.3
2018/09/05,226.87,33290830,228.99,229.67,225.1
